Day 7,Irradiance(W/m²),,,,,,
,Actual,,SVR,,LSTM,,ANN-GA
0,0,0,0,0,0,0,0
5.01721335764163,0,5.19290471010547,0,4.92138171084317,0,5.20887665123855,0
6.07136147242461,24.2457169224358,6.9338462936107,264.464224580623,6.69426717661457,259.16228807883,6.69426717661457,225.311462721224
7.28522899853837,290.973907089591,8.67478787711594,646.611493979132,8.3074332310552,511.20819254871,8.16368576085753,484.698510039742
8.67478787711594,619.693970200795,10.591420813085,917.825938109343,10.0643467556935,635.191938436807,9.04214252317667,676.38390664305
10.0643467556935,877.857493711207,10.9268315768796,912.280636470536,10.9587754591457,800.367652531146,9.92059928549583,819.128350922108
10.9268315768796,984.304065016448,11.9809796916626,905.363112692199,11.8372322214649,852.979176279714,10.5115611074196,943.339684146287
11.9809796916626,988.790318979504,12.6677731603848,877.857493711207,13.0191558653125,804.038223955465,11.8372322214649,931.920128603962
13.0191558653125,886.42216036795,14.4087147438901,628.666478126907,14.185107568027,638.862509861126,12.8594364539817,834.218477888752
14.2330233914262,628.666478126907,15.1114801537454,464.306446571305,15.670498093403,259.16228807883,13.8976126276317,680.054478067368
15.6225822700038,321.969843561615,16.1496563273953,197.57825640415,16.6927023259199,48.7161930845602,15.3670312118746,375.804891118289
17.0121411485814,42.1907327746603,17.8905979109005,0,17.7149065584367,0,16.6927023259199,131.507970766414
17.7149065584367,0,22.7460680153555,0,22.7300960742224,0,17.7149065584367,0
22.7460680153555,0,22.977,0,22.977,0,22.7300960742224,0
22.977,0,,,,,22.977,0
