Day 2,Irradiance(W/m²),,,,,,
,Actual,,SVR,,LSTM,,ANN-GA
0,0,0,0,0,0,0,0
5.2509,0,5.15545,0,5.07334,0,4.80033,0
5.93354,58.9884887088231,5.85166,31.4445346301734,5.96091,25.5173546385654,5.6879,59.3371463553883
7.32619,324.316957744929,6.739,223.206240241025,7.02581,213.4438261372,6.22035,168.118332083726
9.3058,814.180951169013,7.32619,367.201848272447,7.8177,435.190089352658,7.18957,321.876354218972
10.09769,955.735955674478,10.09769,897.858786344658,8.4456,623.116560851292,8.70504,663.909505499419
11.08071,1041.85439437608,10.98503,938.398702701215,9.5105,804.069879418623,9.49693,835.797725256055
11.8726,1044.29499790204,11.68147,973.517495649303,10.12506,892.62892164618,10.30239,933.073208647741
12.75994,965.847027424869,13.96146,695.637351336851,10.93052,991.916163957656,10.91672,985.023197985954
13.94766,789.07760061632,15.03993,445.649818749613,11.89974,901.694020456875,11.80429,975.958099175259
15.13561,511.197456303868,16.62371,61.7777498813446,13.41521,790.820888849146,12.77351,878.682615783573
15.9275,271.320995467021,16.82841,5.99252643091495,13.93409,736.430295984977,13.48352,754.211835959802
16.52803,124.884783909643,17.71598,0,14.91711,539.438725675648,14.46654,568.725967987123
16.71916,8.43312995687143,22.977,0,15.98201,195.31362851581,15.53144,394.397144704531
17.71598,0,,,16.7601,7.3871570171757,16.59634,147.54753093638
22.977,0,,,18.45313,0,18.00256,0
,,,,22.977,0,22.977,0
