Day 10,Irradiance(W/m²),,,,,,
,Actual,,SVR,,LSTM,,ANN-GA
0,0,0,0,0,0,0,0
5.32148977591231,0,5.1457984234487,0,5.16166000000001,0,5.16177036458162,0
6.71104865448997,206,6.0082832446346,55,6.05613000000001,29,6.63118894882452,195
8.78740100178991,670,7.2221507707484,325,7.31422999999998,308,8.54782188479373,623
10.0172404690366,920,8.61170964932606,665,8.99507,686,10.0172404690366,885
10.8797252902227,1010,10.8797252902227,938,10.16094,840,11.0554166426866,986
11.9179014638727,1018,11.566518758945,950,10.89579,915,11.9338734050058,970
12.7963582261917,948,13.483151694914,805,11.93378,875,12.9560776375226,840
14.0102257523055,730,14.8727105734916,400,13.70685,750,14.4414681628984,580
15.7511673358109,295,16.2622694520693,153,14.58522,586,15.7511673358109,312
16.6136521569968,100,18.0032110355744,0,15.60734,300,16.7893435094606,90
17.8275196831106,0,18.0032110355744,0,16.78931,40,17.8115477419774,0
22.977,0,22.977,0,17.81166,0,22.977,0
,,,,22.977,0,,
