Day 9,Irradiance(W/m²),,,,,,
,Actual,,SVR,,LSTM,,ANN-GA
0,0,0,0,0,0,0,0
0.162957558300119,0,0.162957558300119,0,0.0671259115017548,0,0.210873381699527,0
5.2100909563521,0,5.2100909563521,0,5.06634348615433,0,5.2100909563521,0
7.98920871350721,473.278954497418,6.93506059872434,220.009526219431,5.94480024847355,26.2849232692795,6.2482671300021,146.598097733057
9.20307623962102,784.461843025765,8.67600218222946,623.152732089963,7.41421883271645,293.013113436435,7.27047136251888,304.432668978759
10.0655610608071,948.821874581367,10.5926351181985,956.766890433592,8.59614247656401,597.670541654883,8.1489281248379,533.639462363991
10.9440178231261,1000.2450173407,11.6308112918484,915.331557090335,9.92181359060934,869.488858788682,8.73988994676178,723.905303424973
11.8065026443123,1012.21752526681,11.6308112918484,975.331557090335,10.9440178231261,925.770953961568,9.92181359060934,915.590700028281
13.0203701704261,953.308128544423,13.7231355802815,765.489335099653,11.8384465265786,870.2612714526,10.9440178231261,958.382477710135
14.0745182852089,747.544319247429,15.4640771637866,397.828319664201,12.7169032888976,849.308604855395,11.8384465265786,974.711906285816
15.4640771637866,370.910795885864,16.8536360423643,50.2691454683477,13.7391075214144,765.505112900585,12.8606507590953,879.488858788682
17.7161208635502,0,17.891812216014,0,14.7772836950644,601.341113079202,13.7391075214144,759.175684324904
22.977,0,22.977,0,15.3682455169882,394.565589509251,14.3300693433382,608.682255927839
,,,,16.2467022793073,153.939240581695,15.3682455169882,411.906732357888
,,,,16.6939166310333,41.3750502359228,16.6939166310333,161.688224699701
,,,,17.7161208635502,0,17.7161208635502,0
,,,,22.977,0,22.977,0
